database name	gold	pred	equivalent reason	note
car_1	SELECT mpg FROM CARS_DATA WHERE Cylinders  =  8 OR YEAR  <  1980 ORDER BY mpg DESC LIMIT 1;	SELECT Max(cars_data.MPG) FROM cars_data WHERE cars_data.Cylinders = 'terminal' OR cars_data.Year < 'terminal'	Max value is equivalent to sorting with descending order limit 1	
cre_Doc_Template_Mgt	SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Brazil' INTERSECT SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Ireland'	SELECT Documents.Document_ID FROM Documents JOIN Paragraphs  on Paragraphs.Document_ID = Documents.Document_ID  WHERE Paragraphs.Paragraph_Text = 1 INTERSECT SELECT Documents.Document_ID FROM Documents JOIN Paragraphs  on Paragraphs.Document_ID = Documents.Document_ID  WHERE Paragraphs.Paragraph_Text = 1	Semantically correct redundant join. Joining with a parent & primary key will not change the result.	
course_teach	SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID	select T1.Name , T3.Course from teacher as T1 join course_arrange as T2 on T1.Teacher_ID = T2.Teacher_ID join course as T3 on T2.Course_ID = T3.Course_ID	Semantically equivalent join, different joining order and aliases	
student_transcripts_tracking	SELECT count(DISTINCT degree_summary_name) FROM Degree_Programs	select count ( degree_program_id ) from Degree_Programs	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	SELECT avg( Age ) FROM Student WHERE StuID NOT IN ( SELECT StuID FROM Has_Pet )	In the second clause, stuID in Has_Pet refers to Student stuID column, and hence selecting from Student and joining on Has_Pet is equivalent to directly selecting StuID from Has_Pet.	
student_transcripts_tracking	SELECT count(DISTINCT degree_summary_name) FROM Degree_Programs	SELECT count(degree_program_id) FROM Degree_Programs	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, counting different columns of the same table leads to the same result	
cre_Doc_Template_Mgt	SELECT Other_Details FROM Paragraphs WHERE paragraph_text  =  'Korea'	select Other_Details from Paragraphs where Paragraph_Text like 1	Our evaluation method replaces the value 1 in the prediction with the ground truth value "Korea". ' = "Korea"' is semantically equivalent to 'like "Korea"'.	if we do not plug in the value our method is able to distinguish these two queries.
student_transcripts_tracking	SELECT count(DISTINCT department_id) FROM Degree_Programs	select count(*) from Degree_Programs join Departments on Degree_Programs.department_id = Departments.department_id	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, joining with the parent column Departments.department_id (which is a primary key) does not introduce new/delete existing columns; then counting any column is semantically equivalent.	
dog_kennels	SELECT count(DISTINCT dog_id) FROM Treatments	select count(*) from Treatments join Dogs on Treatments.dog_id = Dogs.dog_id	Semantically correct redundant join. Joining with a parent & primary key will not change the result.	
pets_1	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20	SELECT Count(*) FROM Pets JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID JOIN Student ON Has_Pet.StuID = Student.StuID WHERE Student.Age > 'terminal'	Semantically correct redundant join. Joining with a parent & primary key will not change the result. (Notice that the table selection is different, but after reordering joining the cartesian product of the table is the same)	
dog_kennels	SELECT DISTINCT T1.first_name ,  T3.treatment_type_description FROM professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id JOIN Treatment_types AS T3 ON T2.treatment_type_code  =  T3.treatment_type_code	SELECT T3.first_name,T1.treatment_type_description FROM Treatment_Types AS T1 JOIN Treatments AS T2 ON T1.treatment_type_code = T2.treatment_type_code JOIN Professionals AS T3 ON T2.professional_id = T3.professional_id	Semantically equivalent join, different joining order and aliases	
dog_kennels	SELECT DISTINCT breed_code ,  size_code FROM dogs	SELECT Dogs.breed_code , Sizes.size_code FROM Sizes JOIN Dogs  on Dogs.size_code = Sizes.size_code	Semantically correct redundant join. Joining with a parent & primary key will not change the result.	
singer	SELECT Name FROM singer WHERE Citizenship != "France"	SELECT T1.Name FROM singer AS T1 WHERE T1.Singer_ID NOT IN (SELECT T2.Singer_ID FROM singer AS T2 WHERE T2.Citizenship = 1   )	Semantically equiavlent rewriting, where "!=" is expressed as not belonging to a set that satisfies the "=" condition.	
tvshow	SELECT id FROM TV_Channel EXCEPT SELECT channel FROM cartoon WHERE directed_by  =  'Ben Jones'	SELECT TV_Channel.id FROM TV_Channel EXCEPT SELECT Cartoon.Channel FROM TV_Channel JOIN Cartoon  on Cartoon.Channel = TV_Channel.id  WHERE Cartoon.Directed_by = 1	Semantically correct redundant join in the except clause. Joining with a parent & primary key will not change the result.	
car_1	SELECT COUNT(*) FROM ( SELECT T1.CountryId ,  COUNT(*) FROM COUNTRIES AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >  2 );	SELECT Count(*) FROM (SELECT car_makers.Country FROM car_makers GROUP BY car_makers.Country HAVING Count(*) > 'terminal')	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
cre_Doc_Template_Mgt	SELECT count(*) FROM Templates WHERE template_type_code  =  "CV"	select count ( distinct template_type_code ) from templates where template_type_code = 1	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	select avg ( Age ) from Student where StuID not in ( select StuID from Has_Pet )	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
car_1	SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;	select distinct car_names.Model from cars_data join car_names on cars_data.Id = car_names.MakeId where  cars_data.Year > 1980	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	select avg ( Age ) from Student where StuID not in ( select StuID from Has_Pet )	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
pets_1	SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'	SELECT Student.Fname FROM Pets JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID JOIN Student ON Has_Pet.StuID = Student.StuID WHERE Pets.PetType = 'terminal' OR Pets.PetType = 'terminal'	Semantically equivalent join, different joining order and aliases	
flight_2	SELECT Airline FROM AIRLINES WHERE Abbreviation  =  "UAL"	select airlines.airline from airlines where airlines.abbreviation like " % ual % "	Our evaluation method replaces the value "% ual %" in the prediction with the ground truth value "ual". ' = "ual"' is semantically equivalent to 'like "ual"'.	if we do not plug in the value our method is able to distinguish these two queries.
poker_player	SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM poker_player)	select people.name from people where not ( people.people_id in ( select poker_player.people_id from poker_player ) )	Semantically rewrite of not in. Create a intermediate column of boolean. 	
car_1	SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;	SELECT T1.Model FROM model_list AS T1 JOIN car_names AS T2 ON T1.Model = T2.Model GROUP BY T1.Model ORDER BY count( * ) DESC LIMIT 1	Semantically correct redundant join. Joining with a parent & primary key will not change the result.	
world_1	SELECT LANGUAGE FROM countrylanguage GROUP BY LANGUAGE ORDER BY count(*) DESC LIMIT 1	SELECT countrylanguage.Language FROM country JOIN countrylanguage GROUP BY countrylanguage.Language ORDER BY Count(*) Desc LIMIT 1	Semantically correct redundant join, and different joining order from the gold. Joining with a parent & primary key will not change the result.	
student_transcripts_tracking	SELECT  T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_name ORDER BY count(*) DESC LIMIT 1	select Courses.course_name from Student_Enrolment_Courses join Student_Enrolment on Student_Enrolment_Courses.student_enrolment_id = Student_Enrolment.student_enrolment_id join Courses on Student_Enrolment_Courses.course_id = Courses.course_id  group by Courses.course_name  order by count(*) desc limit 1	Semantically correct redundant join. Joining with a parent & primary key will not change the result.	
cre_Doc_Template_Mgt	SELECT Other_Details FROM Paragraphs WHERE paragraph_text  =  'Korea'	SELECT Other_Details FROM Paragraphs WHERE Paragraph_Text like 1	Our evaluation method replaces the value 1 in the prediction with the ground truth value "Korea". ' = "Korea"' is semantically equivalent to 'like "Korea"'.	if we do not plug in the value our method is able to distinguish these two queries.
network_1	SELECT min(grade) FROM Highschooler WHERE id NOT IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id)	SELECT Min(Highschooler.grade) FROM Highschooler WHERE Highschooler.ID NOT IN (SELECT Friend.student_id FROM Friend)	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
car_1	SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;	select  distinct car_names.Model from cars_data  join car_names on  cars_data.Id = car_names.MakeId  where  cars_data.Year > "value"	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
cre_Doc_Template_Mgt	SELECT document_id ,  count(*) FROM Paragraphs GROUP BY document_id ORDER BY document_id	select distinct Documents.Document_ID , count(*) from Paragraphs join Documents on Paragraphs.Document_ID = Documents.Document_ID  group by Documents.Document_ID  order by Documents.Document_ID asc	Semantically correct redundant join. Joining with a parent & primary key will not change the result.	
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	SELECT Avg(Student.Age) FROM Student WHERE Student.StuID NOT IN (SELECT Has_Pet.StuID FROM Has_Pet)	Semantically rewrite of not in. Create a intermediate column of boolean. 	
world_1	SELECT COUNT( DISTINCT Continent) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  "Chinese"	SELECT count(*) FROM countrylanguage AS T1 WHERE T1.Language = 1	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, joining with a parent & primary key will not change the result, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
dog_kennels	SELECT count(DISTINCT professional_id) FROM Treatments	SELECT count( Treatments.professional_id ) FROM Dogs JOIN Treatments  on Treatments.dog_id = Dogs.dog_id	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, joining with a parent & primary key will not change the result, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
dog_kennels	SELECT DISTINCT breed_code ,  size_code FROM dogs	select T2.breed_code , T1.size_code from Sizes as T1 join Dogs as T2 on T1.size_code = T2.size_code	Semantically correct redundant join. Joining with a parent & primary key will not change the result.	
cre_Doc_Template_Mgt	SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents	select templates.template_id from templates where  templates.template_id not in (select documents.template_id from documents  )	Semantically equivalent rewrite of "EXCEPT" into "not in"	
pets_1	SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')	SELECT Major,Age FROM Student WHERE StuID NOT IN ( SELECT T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID = T2.PetID WHERE T2.PetType = 'cat' )	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
